basis_of_record	specific_epithet	species_id	country_code	latitude	longitude	year	coordinate_precision
OBSERVATION	Ursus arctos	2433433	EE	59,30437	26,48735	2010	
OBSERVATION	Ursus arctos	2433433	EE	59,12581	25,51495	1986	
UNKNOWN	Ursus arctos	2433433	NO	63,12954	10,8781	2009	100
UNKNOWN	Ursus arctos	2433433	NO	61,1008	11,13884	2010	100
UNKNOWN	Ursus arctos	2433433	NO	64,01863	11,64265	2010	50
UNKNOWN	Ursus arctos	2433433	NO	65,48399	14,10677	2010	100
UNKNOWN	Ursus arctos	2433433	NO	61,10698	11,1056	2011	100
UNKNOWN	Ursus arctos	2433433	NO	62,7309	11,44157	2009	100
UNKNOWN	Ursus arctos	2433433	NO	61,79167	12,05055	2002	50
UNKNOWN	Ursus arctos	2433433	NO	61,7862	12,08902	2002	100
UNKNOWN	Ursus arctos	2433433	NO	60,5008	12,31256	2002	100
UNKNOWN	Ursus arctos	2433433	NO	63,31278	11,75259	2002	100
UNKNOWN	Ursus arctos	2433433	NO	63,28504	11,60431	2002	100
UNKNOWN	Ursus arctos	2433433	NO	61,79187	11,98174	2003	100
UNKNOWN	Ursus arctos	2433433	NO	64,79427	12,8258	2003	100
UNKNOWN	Ursus arctos	2433433	NO	63,31059	11,86419	2003	100
UNKNOWN	Ursus arctos	2433433	NO	64,76412	13,34132	2003	100
UNKNOWN	Ursus arctos	2433433	NO	62,59518	11,12982	2003	50
UNKNOWN	Ursus arctos	2433433	NO	60,58046	10,24098	2004	100
UNKNOWN	Ursus arctos	2433433	NO	65,47207	13,32464	2004	100
UNKNOWN	Ursus arctos	2433433	NO	61,74765	10,51497	2004	100
UNKNOWN	Ursus arctos	2433433	NO	62,26788	10,91865	2004	100
UNKNOWN	Ursus arctos	2433433	NO	61,46842	10,03403	2004	100
UNKNOWN	Ursus arctos	2433433	NO	62,558	9,37147	2004	100
UNKNOWN	Ursus arctos	2433433	NO	65,49524	13,5717	2004	100
UNKNOWN	Ursus arctos	2433433	NO	64,17291	13,72614	2004	50
UNKNOWN	Ursus arctos	2433433	NO	63,31916	11,65333	2005	100
UNKNOWN	Ursus arctos	2433433	NO	64,17586	13,75514	2005	50
UNKNOWN	Ursus arctos	2433433	NO	61,32556	11,98403	2005	100
UNKNOWN	Ursus arctos	2433433	NO	64,65025	13,61418	2005	100
UNKNOWN	Ursus arctos	2433433	NO	64,65204	13,61408	2005	100
UNKNOWN	Ursus arctos	2433433	NO	64,99689	13,28446	2006	50
UNKNOWN	Ursus arctos	2433433	NO	64,99238	13,28689	2006	100
UNKNOWN	Ursus arctos	2433433	NO	63,06141	11,625	2006	50
UNKNOWN	Ursus arctos	2433433	NO	66,04519	13,8809	2006	100
UNKNOWN	Ursus arctos	2433433	NO	65,46516	13,96494	2006	100
UNKNOWN	Ursus arctos	2433433	NO	64,65523	12,54577	2006	100
UNKNOWN	Ursus arctos	2433433	NO	64,18469	11,4578	2006	100
UNKNOWN	Ursus arctos	2433433	NO	64,12405	11,26547	2006	100
UNKNOWN	Ursus arctos	2433433	NO	64,1108	11,19252	2006	100
UNKNOWN	Ursus arctos	2433433	NO	62,80333	10,22558	2006	50
UNKNOWN	Ursus arctos	2433433	NO	64,26515	11,63226	2006	100
UNKNOWN	Ursus arctos	2433433	NO	66,11356	13,78492	2007	100
UNKNOWN	Ursus arctos	2433433	NO	66,12427	13,77777	2007	100
UNKNOWN	Ursus arctos	2433433	NO	65,51452	13,95675	2007	100
UNKNOWN	Ursus arctos	2433433	NO	64,65236	12,59002	2007	100
UNKNOWN	Ursus arctos	2433433	NO	61,62299	10,23157	2007	100
UNKNOWN	Ursus arctos	2433433	NO	64,63188	12,54579	2007	100
UNKNOWN	Ursus arctos	2433433	NO	62,94596	11,06589	2007	100
UNKNOWN	Ursus arctos	2433433	NO	61,7199	12,01387	2007	100
UNKNOWN	Ursus arctos	2433433	NO	64,65426	13,15955	2007	100
UNKNOWN	Ursus arctos	2433433	NO	61,12282	11,16631	2007	100
UNKNOWN	Ursus arctos	2433433	NO	62,45643	10,9191	2007	100
