modelo,auc,cor
rf_pseudoausencia,0.879866151380903,0.668465956604472
svm_pseudoausencia,0.815298331605241,0.550171204443857
rf_ausencia,0.811645772457347,0.544065092927182
svm_ausencia,0.802408332547837,0.538147730717259
rf_background,0.799639457064756,0.307240523127091
gam_background,0.798967857479498,0.413889980784319
tree_ausencia,0.797200490149873,0.550792801371466
ctree_background,0.792463945706476,0.442454147657894
maxent2,0.790437364501838,0.343201929271293
ensamblado_ausencia,0.784027712319729,0.495945042281305
glm_ausencia,0.784027712319729,0.495945042281305
gam_pseudoausencia,0.776769723819399,0.496639127693613
gam_backgroundw,0.776251296069375,0.486725024204884
glm_background,0.767579413705345,0.367068472654838
glm_backgroundw,0.76194740314827,0.464807257564059
gam_ausencia,0.760557074182298,0.477435805198033
ctree_pseudoausencia,0.756444999528702,0.458260104227889
ensamblado_background,0.751720237534169,0.445147578409817
ensamblado_pseudoausencia,0.751720237534169,0.445147578409817
glm_pseudoausencia,0.751720237534169,0.445147578409817
svm_background,0.737157130738053,0.22962025090046
tree_pseudoausencia,0.732232067112829,0.460234383181732
ctree_ausencia,0.721015175794137,0.418496060027289
domain,0.66555518899048,0.278980457633448
bioclim,0.651310208313696,0.209273447173768
tree_background,0.596133000282779,0.232379342266266
