Species,Lon,Lat
Ursus arctos,25.51495,59.12581
Ursus arctos,11.13884,61.1008
Ursus arctos,14.10677,65.48399
Ursus arctos,12.05055,61.79167
Ursus arctos,12.31256,60.5008
Ursus arctos,10.24098,60.58046
Ursus arctos,13.32464,65.47207
Ursus arctos,10.51497,61.74765
Ursus arctos,10.91865,62.26788
Ursus arctos,13.5717,65.49524
Ursus arctos,13.28446,64.99689
Ursus arctos,11.625,63.06141
Ursus arctos,12.54577,64.65523
Ursus arctos,11.26547,64.12405
Ursus arctos,11.63226,64.26515
Ursus arctos,11.06589,62.94596
Ursus arctos,13.15955,64.65426
Ursus arctos,10.9191,62.45643
Ursus arctos,11.42217,62.10733
Ursus arctos,11.8586,61.74496
Ursus arctos,11.41911,60.90745
Ursus arctos,29.32239,69.77675
Ursus arctos,10.53338,63.00712
Ursus arctos,10.87353,61.06971
Ursus arctos,-4.41,43.12
Ursus arctos,26.39316,58.86345
Ursus arctos,11.3965,62.46882
Ursus arctos,8.59043,60.23491
Ursus arctos,11.06077,61.8851
Ursus arctos,10.50927,62.24485
Ursus arctos,13.50474,64.43198
Ursus arctos,28.11083,70.0443
Ursus arctos,7.25844,61.60129
Ursus arctos,12.1602,61.56161
Ursus arctos,25.21737,69.95029
Ursus arctos,7.30361,58.38028
Ursus arctos,10.61393,63.21329
Ursus arctos,-5.39,42.92
Ursus arctos,12.28492,63.84606
Ursus arctos,9.60999,60.92252
Ursus arctos,10.39973,61.37805
Ursus arctos,11.14444,62.11013
Ursus arctos,11.5744,63.70944
Ursus arctos,9.86075,62.07756
Ursus arctos,11.61033,62.6886
Ursus arctos,11.53742,60.6322
Ursus arctos,30.02664,69.4628
Ursus arctos,23.0233,45.133
Ursus arctos,23.82231,58.38474
Ursus arctos,26.87887,59.28067
Ursus arctos,25.16129,59.21107
Ursus arctos,23.87356,59.01263
Ursus arctos,12.61645,64.32688
Ursus arctos,9.72534,61.34127
Ursus arctos,11.87496,63.95788
Ursus arctos,12.20426,61.9725
Ursus arctos,9.3522,60.41246
Ursus arctos,10.79612,62.87377
Ursus arctos,11.33892,62.94843
Ursus arctos,10.67872,62.00702
Ursus arctos,10.9627,61.64049
Ursus arctos,13.80338,64.95545
Ursus arctos,20.43643,69.33124
Ursus arctos,12.17822,64.40171
Ursus arctos,8.48667,61.82098
Ursus arctos,10.37552,62.54957
Ursus arctos,25.33049,58.9321
Ursus arctos,8.36239,61.17009
Ursus arctos,12.7453,64.54798
Ursus arctos,14.08245,65.73988
Ursus arctos,10.74991,64.25593
Ursus arctos,9.00575,62.14379
Ursus arctos,10.56913,61.46142
Ursus arctos,26.56313,59.13357
Ursus arctos,16.65,48.917
Ursus arctos,-4.16,42.76
Ursus arctos,30.35867,63.23474
Ursus arctos,25.20856,58.31371
Ursus arctos,-4.66,43.12
Ursus arctos,8.04756,62.35687
Ursus arctos,10.25565,62.12284
Ursus arctos,14.28526,65.35361
Ursus arctos,25.9043,57.87213
Ursus arctos,11.58575,63.30064
Ursus arctos,11.96898,63.30035
Ursus arctos,7.80374,62.26971
Ursus arctos,18.69256,68.73633
Ursus arctos,16.037,46.285
Ursus arctos,11.84305,61.10849
Ursus arctos,10.69106,62.29778
Ursus arctos,9.88,60.76876
Ursus arctos,6.26086,61.41334
Ursus arctos,22.80071,69.82993
Ursus arctos,-5.02,42.75
Ursus arctos,-6.37,42.92
Ursus arctos,25.67235,59.57645
Ursus arctos,26.21981,58.86253
Ursus arctos,5,50.433
Ursus arctos,0.51,42.47
Ursus arctos,11.1909,60.90921
Ursus arctos,10.61657,60.42647
Ursus arctos,12.30242,61.25519
Ursus arctos,11.85228,64.25563
Ursus arctos,18.50255,68.77035
Ursus arctos,6.80886,61.42688
Ursus arctos,13.59091,66.02261
Ursus arctos,8.60228,60.86665
Ursus arctos,12.69846,64.01752
Ursus arctos,28.10628,70.26522
Ursus arctos,10.22728,61.27557
Ursus arctos,11.65261,64.45231
Ursus arctos,25.30279,61.10882
Ursus arctos,12.38914,64.88959
Ursus arctos,9.60558,60.66296
Ursus arctos,25.72624,58.13996
Ursus arctos,24.86681,58.30825
Ursus arctos,10.20027,62.98873
Ursus arctos,14.31084,65.58285
Ursus arctos,12.14426,60.48832
Ursus arctos,9.8737,60.5645
Ursus arctos,-6.24,43.09
Ursus arctos,15.3362,47.2215
Ursus arctos,13.29879,64.12042
Ursus arctos,11.78977,63.63448
Ursus arctos,14.50471,65.80028
Ursus arctos,11.13961,62.39123
Ursus arctos,26.58176,57.60663
Ursus arctos,11.467,49.733
Ursus arctos,20.5717,50.8717
Ursus arctos,-4.16,42.94
Ursus arctos,8.29687,61.70704
Ursus arctos,19.38819,48.62683
Ursus arctos,29.37283,69.33833
Ursus arctos,11.47328,61.29629
Ursus arctos,26.73855,59.04424
Ursus arctos,9.29489,60.70081
Ursus arctos,7.81358,59.48075
Ursus arctos,-5.01,42.57
Ursus arctos,9.2167,48.0883
Ursus arctos,27.25418,58.05618
Ursus arctos,-6.75,42.57
Ursus arctos,8.95171,62.50229
Ursus arctos,14.60585,66.41209
Ursus arctos,24.12652,59.01262
Ursus arctos,27.42575,58.23536
Ursus arctos,9.12502,61.80655
Ursus arctos,7.78442,62.70625
Ursus arctos,26.5654,58.95397
Ursus arctos,27.61497,59.31241
Ursus arctos,27.08562,58.41568
Ursus arctos,0.5,42.65
Ursus arctos,14.03615,64.44002
Ursus arctos,24.54736,58.68832
